舍弗勒贸易（上海）有限公司（2）,,李文,无,安拓路1号,,  ■  接口基础版                    □  接口标准版                                                  ,金额：   19800   元    ■ 已付款                   □安装时付款                   ,
杭州包昆特殊钢有限公司上海分公司,,财务,无,虹口区中山北一路903号5203,,  ■  接口基础版                    □  接口标准版                                                  ,金额：   7000   元    ■ 已付款                   □安装时付款                   ,
斯普瑞喷雾系统(上海)有限公司,,尤国军,无,松江书林路21号,,  ■  接口基础版                    □  接口标准版                                                  ,金额：   19800   元    ■ 已付款                   □安装时付款                   ,
大昌三昶（上海）商贸有限公司（分2）,,徐惠,无,梅园路228号企业广场2701室,,  ■  接口基础版                    □  接口标准版                                                  ,金额：   19800   元    ■ 已付款                   □安装时付款                   ,
富仕兰食品贸易（上海）有限公司,,财务,无,淮海中路93号28楼财务,,  ■  接口基础版                    □  接口标准版                                                  ,金额：   19800   元    ■ 已付款                   □安装时付款                   ,
康尔福盛（上海）商贸有限公司,,龚小姐,无,张杨路500号2F,58368018-137,  ■  接口基础版                    □  接口标准版                                                  ,金额：   19800   元    ■ 已付款                   □安装时付款                   ,
上海当纳利印刷有限公司,,禇卉,无,青浦工业园区崧泽大道7669号,,  ■  接口基础版                    □  接口标准版                                                  ,金额：   19800   元    ■ 已付款                   □安装时付款                   ,
上海巴士悦信物流发展有限公司,,周欣,无,荆州路280号D区307室,51791333-8611,  ■  接口基础版                    □  接口标准版                                                  ,金额：   19800   元    ■ 已付款                   □安装时付款                   ,
亚利桑那化学贸易（上海）有限公司,,蒋海龙,无,遵义路100号B栋2611,,  ■  接口基础版                    □  接口标准版                                                  ,金额：   19800   元    ■ 已付款                   □安装时付款                   ,
艾默生过程控制有限公司,,陆先生,无,新金桥路1277号,,  □  接口基础版                    ■  接口标准版                                                  ,金额：   29800   元    ■ 已付款                   □安装时付款                   ,
矢崎（中国）投资有限公司,31011471786720X,蒋海龙,,银翔路0655号18楼,,  ■  接口基础版                    □  接口标准版                                                  ,金额：   9800   元    ■ 已付款                   □安装时付款                   ,
